HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b11bq1,b11bq3,b11bq4,b11bq5,b11bq6,NSC,MLT
536786021,771,53678,77,182,1,1,051,05,0512,12,12,31,1,0511,6,02,1,13,1,13150,4000,0,9150,2,2191700
536786021,771,53678,77,182,1,1,051,05,0512,12,12,31,1,0511,6,02,1,13,5,13150,4000,0,9150,2,2191700
536206031,771,53620,77,182,1,1,051,05,0506,06,06,31,2,0510,6,03,1,13,1,60000,25000,,35000,2,60450
536206031,771,53620,77,182,1,1,051,05,0506,06,06,31,2,0510,6,03,1,13,5,60000,25000,,35000,2,60450
536101021,771,53610,77,182,1,1,051,05,0510,10,10,31,2,0511,1,02,1,13,1,56786,,24000,80786,2,17625
536101021,771,53610,77,182,1,1,051,05,0510,10,10,31,2,0511,1,02,1,13,5,56786,,24000,80786,2,17625
536181011,771,53618,77,182,1,1,051,05,0511,11,11,31,2,0511,1,01,1,13,1,56789,24000,,32789,2,64500
536181011,771,53618,77,182,1,1,051,05,0511,11,11,31,2,0511,1,01,1,13,5,56789,24000,,32789,2,64500
557371011,771,55737,77,182,1,1,085,08,0814,14,14,32,1,0810,1,01,1,13,4,110,,,110,2,499400
557371011,771,55737,77,182,1,1,085,08,0814,14,14,32,1,0810,1,01,1,13,5,110,,,110,2,499400
557372011,771,55737,77,182,1,1,085,08,0814,14,14,32,1,0810,2,01,1,13,4,110,0,0,110,2,113500
557372011,771,55737,77,182,1,1,085,08,0814,14,14,32,1,0810,2,01,1,13,5,110,0,0,110,2,113500
557373011,771,55737,77,182,1,1,085,08,0814,14,14,32,1,0810,3,01,1,13,4,110,,,110,2,306450
557373011,771,55737,77,182,1,1,085,08,0814,14,14,32,1,0810,3,01,1,13,5,110,,,110,2,306450
557374011,771,55737,77,182,1,1,085,08,0814,14,14,32,1,0810,4,01,1,13,4,110,,,110,2,136200
557374011,771,55737,77,182,1,1,085,08,0814,14,14,32,1,0810,4,01,1,13,5,110,,,110,2,136200
557374021,771,55737,77,182,1,1,085,08,0814,14,14,32,1,0810,4,02,1,13,4,110,0,0,110,2,136200
557374021,771,55737,77,182,1,1,085,08,0814,14,14,32,1,0810,4,02,1,13,5,110,0,0,110,2,136200
557376021,771,55737,77,182,1,1,085,08,0814,14,14,32,1,0810,6,02,1,13,4,330,,,330,2,45400
557376021,771,55737,77,182,1,1,085,08,0814,14,14,32,1,0810,6,02,1,13,5,330,,,330,2,45400
557781021,771,55778,77,182,1,1,081,08,0818,18,18,31,1,0811,1,02,1,13,4,6600,3000,,3600,2,108875
557781021,771,55778,77,182,1,1,081,08,0818,18,18,31,1,0811,1,02,1,13,5,6600,3000,,3600,2,108875
557781031,771,55778,77,182,1,1,081,08,0818,18,18,31,1,0811,1,03,1,13,4,18000,6000,,12000,2,108875
557781031,771,55778,77,182,1,1,081,08,0818,18,18,31,1,0811,1,03,1,13,5,18000,6000,,12000,2,108875
557781041,771,55778,77,182,1,1,081,08,0818,18,18,31,1,0811,1,04,1,13,4,6000,3000,,3000,2,108875
557781041,771,55778,77,182,1,1,081,08,0818,18,18,31,1,0811,1,04,1,13,5,6000,3000,,3000,2,108875
557214031,771,55721,77,182,1,1,082,08,0821,21,21,11,1,0810,4,03,1,13,4,300,0,0,300,2,10057
557214031,771,55721,77,182,1,1,082,08,0821,21,21,11,1,0810,4,03,1,13,5,300,0,0,300,2,10057
559084021,771,55908,77,182,1,1,085,08,0814,14,14,32,2,0810,4,02,1,13,4,110,,,110,2,102150
559084021,771,55908,77,182,1,1,085,08,0814,14,14,32,2,0810,4,02,1,13,5,110,,,110,2,102150
559632011,771,55963,77,182,1,1,085,08,0814,14,14,31,2,0810,2,01,1,13,4,110,,,110,2,277500
559632011,771,55963,77,182,1,1,085,08,0814,14,14,31,2,0810,2,01,1,13,5,110,,,110,2,277500
559691011,771,55969,77,182,1,1,085,08,0814,14,14,33,2,0810,1,01,1,13,4,4000,0,0,4000,2,745200
559691011,771,55969,77,182,1,1,085,08,0814,14,14,33,2,0810,1,01,1,13,5,4000,0,0,4000,2,745200
