HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b11cq1,b11cq3,NSC,MLT
533282012,771,53328,77,182,1,1,011,01,0107,07,07,21,2,0110,2,01,2,18,1,9600,1,9600
533282012,771,53328,77,182,1,1,011,01,0107,07,07,21,2,0110,2,01,2,18,4,1200,1,9600
533282012,771,53328,77,182,1,1,011,01,0107,07,07,21,2,0110,2,01,2,18,7,10800,1,9600
533131032,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,1,03,2,18,1,26575,2,57500
533131032,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,1,03,2,18,7,26575,2,57500
533132012,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,2,01,2,18,1,32000,2,28750
533132012,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,2,01,2,18,7,32000,2,28750
533133022,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,3,02,2,18,1,18980,2,517500
533133022,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,3,02,2,18,7,18980,2,517500
533134012,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,4,01,2,18,1,12000,2,460000
533134012,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,4,01,2,18,7,12000,2,460000
533135022,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,5,02,2,18,1,8500,2,115000
533135022,771,53313,77,182,1,1,011,01,0107,07,07,31,2,0110,5,02,2,18,7,8500,2,115000
533151012,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,01,2,18,2,675,2,107333
533151012,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,01,2,18,7,675,2,107333
533151022,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,02,2,18,1,64240,2,107333
533151022,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,02,2,18,2,1300,2,107333
533151022,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,02,2,18,3,12450,2,107333
533151022,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,02,2,18,7,77990,2,107333
533151032,771,53315,77,182,1,1,012,01,0116,16,16,31,2,0111,1,03,2,18,2,692,2,107333
